State,avg_monthly_ssi_payment,caps,arp_caregiver_family_support,ui_good_cause_caregiving,spousal_impoverishment,hcbs_expenditure_ratio,hcbs_user_ratio,pct_ltss_hcbs_older_adults,home_health_aides_per100,arp_waiting_list_diversion,arp_tech_telehealth,arp_cross_sector_investments,livability_transportation,livability_housing,hcbs_presumptive_eligibility,section_811_pra,vr_spending_career,vr_spending_training,special_ed_policy_score,arp_workforce_training,buy_in_working_people,subminimum_wage_14c,medicaid_eligibility_threshold,ssi_auto_enroll_medicaid,medically_needy,ssi_criteria_209,arp_quality_improvement,smd_demonstration_projects,initial_ar,reconsidered_ar,total_ar,adl_medicaid_coverage_pct,private_ltci_per1000,section_811_pct_disability,fema_shmp,family_responsibility_class,sdpi_minmax,sdpi_zscore,sdpi_hybrid,region,domain_Income & Cash Support,domain_Medicaid & LTC,domain_HCBS,domain_Employment & VR,domain_ARP / Pandemic Relief,domain_Housing & Accessibility
North Dakota,0.0029757247431293,0.3724696356275303,0.1505376344086021,0.5,0,0.0,0,0,0,1,0.0,0.0,0.0949152542372881,0.5527522935779817,0,1,0.078909612625538,0.2659574468085106,0,1,1,0.7791411042944784,0,0.5078125,0.6620689655172413,0.1612903225806451,0.6434782608695652,0.7368421052631579,0,1,0.3870967741935484,1.0,0,0,1,0,0.3526806187561715,-0.1075398377217209,0.2530516240174367,Midwest,0.34319588691955377,0.38029556650246304,0.12280701754385964,0.40600204093213177,0.4656693158796945,0.43144816906325717
Ohio,0.5075176196263804,0.4048582995951416,0.1362007168458781,1.0,1,0.0,0,0,0,1,0.0,0.0,0.4457627118644068,0.8600917431192658,1,0,0.4777618364418938,0.2787234042553191,1,1,0,0.2147239263803681,0,0.2499999999999999,0.2310344827586205,0.4868035190615835,0.1739130434782608,0.4736842105263157,1,1,0.3225806451612903,0.5454545454545454,1,1,0,0,0.4474559449772388,-0.0701454537467287,0.2717192350305621,Midwest,0.5944836306415423,0.39664128974473795,0.24561403508771928,0.4928022917693953,0.3850189600540232,0.5301018220826877
Oklahoma,0.3560689116929311,0.2024291497975708,0.1326164874551971,1.0,0,0.0,0,1,0,0,1.0,0.2972972972972973,0.2067796610169492,0.1743119266055046,1,0,0.1936872309899569,0.1170212765957446,0,0,0,0.0736196319018402,0,0.2890624999999999,0.1689655172413792,0.0,0.1043478260869565,0.4736842105263157,0,0,0.7419354838709677,0.6363636363636364,1,0,0,0,0.2094145755590916,-0.4911066983793634,0.0634742930828477,South,0.23117781592731645,0.2579041648007165,0.41228070175438597,0.34608203487188544,0.25571026847324185,0.08336010534571779
Oregon,0.3907595932194856,0.097165991902834,0.4802867383512545,0.5,1,0.0,1,1,0,1,0.0,0.0,0.7576271186440678,1.0,0,0,0.7761836441893829,0.3191489361702128,0,1,1,0.6932515337423313,0,0.5390624999999999,0.6275862068965515,0.5102639296187683,0.1739130434782608,0.8947368421052632,0,1,0.2580645161290322,0.5,0,1,0,0,0.4600677359581941,0.1800453585700957,0.5194874521822571,West,0.4496917564945477,0.4467980295566502,0.4824561403508772,0.5721460285254818,0.4423666303049192,0.40782758722098594
Pennsylvania,0.5663273294337491,0.097165991902834,0.4802867383512545,1.0,1,0.5,1,1,0,1,1.0,0.3513513513513513,0.4966101694915253,0.7155963302752293,1,1,0.3357245337159253,0.5638297872340426,1,1,0,0.3251533742331287,0,0.3671874999999999,0.3448275862068966,0.4780058651026393,0.1565217391304348,0.5789473684210527,1,0,0.4193548387096774,0.8636363636363636,0,1,1,0,0.5897027760874077,0.5129823778812128,0.6576707034095344,Northeast,0.4718125888743443,0.31549484997760857,0.6798245614035089,0.5561769237957741,0.6646933048055067,0.7584817845242269
Rhode Island,0.3676585751605261,0.1538461538461538,0.956989247311828,0.0,0,0.0,0,1,0,1,0.5,0.3513513513513513,0.3440677966101695,0.5619266055045871,1,1,0.5164992826398852,0.1382978723404255,1,0,1,0.736196319018405,1,0.5937500000000001,0.675862068965517,0.6803519061583579,0.1391304347826087,0.7368421052631579,0,1,0.1290322580645161,0.0,0,1,0,0,0.4336088965502781,0.0578539347157581,0.4233237570402396,Northeast,0.46179878989723333,0.38226600985221676,0.456140350877193,0.34774836849967894,0.4912451722409647,0.57997722228013
South Carolina,0.1562255287069432,0.3684210526315789,0.1935483870967742,0.5,0,0.5,0,1,0,1,0.0,0.3513513513513513,0.4,0.7729357798165136,1,0,0.2510760401721664,0.0872340425531915,1,0,1,0.4662576687116562,1,0.4140625,0.4448275862068965,0.1466275659824047,0.1391304347826087,0.0526315789473684,0,0,0.2903225806451613,0.5,0,0,0,0,0.2878841064107482,-0.3747460973993252,0.0319247229442761,South,0.1678730292224182,0.4206896551724138,0.4254385964912281,0.3261419378592535,0.2806716955384557,0.36305097606401315
South Dakota,0.1295223178488057,0.0809716599190283,0.1792114695340501,1.0,0,1.0,0,0,0,1,1.0,0.0,0.2745762711864407,0.2155963302752294,1,0,0.1678622668579626,0.1,1,0,1,0.3006134969325153,0,0.1953125,0.2551724137931034,0.2727272727272727,0.7391304347826086,0.5789473684210527,0,0,0.2258064516129032,0.9090909090909092,0,1,1,0,0.4139257727800522,-0.0529795234006248,0.2507511114248102,Midwest,0.13722809036483027,0.3091804746977161,0.4298245614035088,0.39211894094761945,0.48639031738610977,0.5101634659115283
Tennessee,0.2971025841331012,0.0566801619433198,0.0,1.0,1,0.0,1,0,0,1,0.0,0.0,0.276271186440678,0.3715596330275229,1,0,0.3256814921090387,0.1425531914893617,1,0,0,0.0613496932515337,1,0.2890624999999999,0.1620689655172412,0.3343108504398827,0.1826086956521739,0.2631578947368421,0,0,0.4193548387096774,0.4545454545454545,0,0,0,0,0.2679181833574996,-0.4074630471226526,-0.0355848799626865,South,0.22330512888044352,0.3738020600089565,0.37719298245614036,0.38239609421248355,0.19710144927536233,0.24350156877307436
Texas,0.1389976512580119,1.0,0.6953405017921147,1.0,0,1.0,0,0,0,1,0.0,0.0,0.4898305084745764,0.7912844036697246,1,0,0.4390243902439024,0.4340425531914894,1,1,1,0.3435582822085887,1,0.4453124999999999,0.389655172413793,0.346041055718475,0.1304347826086956,0.2631578947368421,1,1,0.4516129032258064,0.7727272727272727,0,1,0,0,0.5038681214054441,0.0780686273179088,0.4270230758196397,South,0.5636606850337155,0.4517689207344379,0.37719298245614036,0.5541563064109951,0.4709625474001351,0.611587844592043
